Epoch 0/11, Iters: 000600, loss: 53.9003, train_accuracy: 0.0000, time: 0.65 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000700, loss: 51.8590, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000800, loss: 48.6544, train_accuracy: 0.0000, time: 0.75 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000900, loss: 48.6309, train_accuracy: 0.0000, time: 0.77 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001000, loss: 47.4870, train_accuracy: 0.0000, time: 0.75 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001100, loss: 48.1929, train_accuracy: 0.0000, time: 0.78 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001200, loss: 47.1569, train_accuracy: 0.0000, time: 0.78 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001300, loss: 47.4241, train_accuracy: 0.0000, time: 0.79 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001400, loss: 47.4181, train_accuracy: 0.0000, time: 0.78 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001500, loss: 48.1285, train_accuracy: 0.0000, time: 0.78 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001600, loss: 47.3975, train_accuracy: 0.0000, time: 0.78 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001700, loss: 47.1878, train_accuracy: 0.0000, time: 0.80 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001800, loss: 47.1533, train_accuracy: 0.0000, time: 0.80 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001900, loss: 47.3478, train_accuracy: 0.0000, time: 0.79 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002000, loss: 46.3604, train_accuracy: 0.0000, time: 0.75 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002100, loss: 47.7929, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002200, loss: 47.3691, train_accuracy: 0.0000, time: 0.66 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002300, loss: 47.2937, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002400, loss: 46.7871, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002500, loss: 47.8209, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002600, loss: 46.6360, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002700, loss: 46.8121, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002800, loss: 46.1585, train_accuracy: 0.0000, time: 0.70 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002900, loss: 46.8302, train_accuracy: 0.0000, time: 0.70 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 003000, loss: 46.4933, train_accuracy: 0.0000, time: 0.71 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000100, loss: 83.5985, train_accuracy: 0.0000, time: 0.72 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000200, loss: 81.1463, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000300, loss: 80.4264, train_accuracy: 0.0000, time: 0.66 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000400, loss: 70.5019, train_accuracy: 0.0000, time: 0.64 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000500, loss: 56.0445, train_accuracy: 0.0000, time: 0.64 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000600, loss: 53.5756, train_accuracy: 0.0000, time: 0.65 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000700, loss: 50.3257, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000800, loss: 51.1560, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000900, loss: 49.1788, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001000, loss: 49.3845, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001100, loss: 48.4507, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001200, loss: 47.5819, train_accuracy: 0.0000, time: 0.65 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001300, loss: 47.2826, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001400, loss: 46.8919, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
